Names,color_wine,Prices,ML,Ratings,Ratingsnum,Countrys,ABV %,rates,year,brand,location,city,raters_numb
12 Linajes Crianza ,Red Wine,31.99,750,3.9,17,"Tempranillo from Ribera del Duero, Spain",14.5,WE,2014,Tempranillo,Spain,Ribera del Duero,1
12C Wines Beckstoffer Vineyard Georges III Cabernet Sauvignon ,Red Wine,119.97,750,0.0,0,"Cabernet Sauvignon from Napa Valley, California",0.0,0,2015,Cabernet Sauvignon,California,Napa Valley,0
12C Wines Beckstoffer Vineyard Georges III Cabernet Sauvignon ,Red Wine,119.97,750,0.0,0,"Cabernet Sauvignon from Napa Valley, California",0.0,0,2014,Cabernet Sauvignon,California,Napa Valley,0
13 Celsius Pinot Grigio ,White Wine,12.99,750,0.0,0,"Pinot Gris/Grigio from Veneto, Italy",12.5,0,2020,Pinot Gris/Grigio,Italy,Veneto,0
13 Celsius Sauvignon Blanc ,White Wine,18.99,750,0.0,0,"Sauvignon Blanc from Marlborough, New Zealand",0.0,0,2021,Sauvignon Blanc,New Zealand,Marlborough,0
14 Hands Pinot Grigio ,White Wine,12.99,750,0.0,0,Pinot Gris/Grigio from Washington,12.5,0,2021,Pinot Gris/Grigio,Washington,_Not_given_,0
14 Hands Hot to Trot Red Blend ,Red Wine,10.99,750,0.0,0,"Other Red Blends from Columbia Valley, Washington",14.5,0,2020,Other Red Blends,Washington,Columbia Valley,0
14 Hands Merlot ,Red Wine,11.99,750,3.8,11,"Merlot from Columbia Valley, Washington",14.5,0,2018,Merlot,Washington,Columbia Valley,0
14 Hands Cabernet Sauvignon ,Red Wine,11.99,750,3.7,31,"Cabernet Sauvignon from Columbia Valley, Washington",13.5,0,2018,Cabernet Sauvignon,Washington,Columbia Valley,0
14 Hands Run Wild Juicy Red Blend ,Red Wine,12.99,750,0.0,0,"Rhone Red Blends from Columbia Valley, Washington",13.5,0,2019,Rhone Red Blends,Washington,Columbia Valley,0
14 Hands Stampede Red Blend ,Red Wine,12.99,750,0.0,0,"Other Red Blends from Columbia Valley, Washington",13.5,JD,2019,Other Red Blends,Washington,Columbia Valley,1
1849 Anonymous Napa Valley Red ,Red Wine,42.99,750,3.9,9,"Other Red Blends from Napa Valley, California",15.5,0,2017,Other Red Blends,California,Napa Valley,0
1849 Triumph Red Blend ,Red Wine,45.99,750,0.0,0,"Other Red Blends from Sonoma County, California",15.2,0,2017,Other Red Blends,California,Sonoma County,0
1849 Iris Pinot Noir ,Red Wine,30.99,750,0.0,0,"Pinot Noir from Sonoma County, California",14.5,WW,2018,Pinot Noir,California,Sonoma County,1
1849 Declaration Napa Valley Cabernet Sauvignon ,Red Wine,80.99,750,4.1,7,"Cabernet Sauvignon from Napa Valley, California",15.0,RP,2014,Cabernet Sauvignon,California,Napa Valley,1
19 Crimes Cabernet Sauvignon ,Red Wine,10.99,750,3.9,68,Cabernet Sauvignon from Australia,0.0,0,2020,Cabernet Sauvignon,Australia,_Not_given_,0
19 Crimes The Punishment Pinot Noir ,Red Wine,9.99,750,3.7,31,Pinot Noir from Australia,13.5,0,2020,Pinot Noir,Australia,_Not_given_,0
19 Crimes Snoop Cali Rose ,Pink and Rosé,13.99,750,3.9,32,Rosé from California,10.5,0,2020,Rosé,California,_Not_given_,0
19 Crimes Snoop Cali Red ,Red Wine,13.99,750,4.3,126,Other Red Blends from California,0.0,0,2020,Other Red Blends,California,_Not_given_,0
19 Crimes Red Blend ,Red Wine,9.99,750,3.9,50,Other Red Blends from Australia,0.0,0,2020,Other Red Blends,Australia,_Not_given_,0
19 Crimes The Banished Dark Red ,Red Wine,16.99,750,4.2,32,Other Red Blends from Australia,0.0,0,2020,Other Red Blends,Australia,_Not_given_,0
19 Crimes The Block Sauvignon Blanc ,White Wine,9.99,750,2.5,7,Sauvignon Blanc from Australia,0.0,0,2020,Sauvignon Blanc,Australia,_Not_given_,0
19 Crimes The Warden ,Red Wine,20.99,750,3.7,12,"Syrah/Shiraz from South East Australia, Australia",0.0,0,2018,Syrah/Shiraz,Australia,South East Australia,0
19 Crimes Hard Chard ,White Wine,20.99,750,3.0,13,Chardonnay from Australia,14.0,0,2021,Chardonnay,Australia,_Not_given_,0
19 Crimes Martha's Chard ,White Wine,13.99,750,3.8,24,Chardonnay from California,13.8,0,2020,Chardonnay,California,_Not_given_,0
19 Crimes The Uprising ,Red Wine,11.99,750,4.1,41,Other Red Blends from Australia,0.0,0,2020,Other Red Blends,Australia,_Not_given_,0
1924 Double Black Red Blend ,Red Wine,11.99,750,4.3,9,Other Red Blends from California,0.0,0,2020,Other Red Blends,California,_Not_given_,0
1924 Port Barrel Aged Pinot Noir ,Red Wine,15.99,750,0.0,0,Pinot Noir from California,15.0,0,2020,Pinot Noir,California,_Not_given_,0
1924 Scotch Barrel Aged Chardonnay ,White Wine,15.99,750,3.7,8,Chardonnay from California,14.5,0,2018,Chardonnay,California,_Not_given_,0
1924 Sauvignon Blanc ,White Wine,14.99,750,3.6,12,Sauvignon Blanc from California,13.0,WW,2020,Sauvignon Blanc,California,_Not_given_,1
3 Rings Shiraz ,Red Wine,18.99,750,0.0,0,"Syrah/Shiraz from Barossa Valley, Barossa, South Australia, Australia",14.3,0,2019,Syrah/Shiraz,Australia,South Australia,0
4 Kilos Motor America Mallorca ,Red Wine,19.99,750,0.0,0,Other Red Wine from Spain,12.0,0,2019,Other Red Wine,Spain,_Not_given_,0
4 Kilos Motor Blanc Mallorca ,White Wine,25.99,750,0.0,0,Other White Wine from Spain,12.5,0,2020,Other White Wine,Spain,_Not_given_,0
4 Kilos Tierra de Mallorca ,Red Wine,43.99,750,0.0,0,Other Red Blends from Spain,0.0,0,2019,Other Red Blends,Spain,_Not_given_,0
7 Deadly Red ,Red Wine,16.99,750,0.0,0,"Other Red Blends from Lodi, California",0.0,0,2019,Other Red Blends,California,Lodi,0
7 Deadly Zins Zinfandel ,Red Wine,14.99,750,3.8,18,"Zinfandel from Lodi, California",15.0,0,2018,Zinfandel,California,Lodi,0
7 Moons Red Blend ,Red Wine,14.99,750,4.6,7,Other Red Blends from Chile,0.0,0,2020,Other Red Blends,Chile,_Not_given_,0
7Cellars The Farm Collection Pinot Noir ,Red Wine,30.99,750,0.0,0,"Pinot Noir from Monterey, Central Coast, California",13.2,0,2019,Pinot Noir,California,Central Coast,0
7Cellars The Farm Collection Chardonnay ,White Wine,19.99,750,0.0,0,"Chardonnay from Arroyo Seco, Monterey, Central Coast, California",13.4,0,2019,Chardonnay,California,Central Coast,0
7Cellars The Farm Collection Cabernet Sauvignon ,Red Wine,19.99,750,0.0,0,"Cabernet Sauvignon from Paso Robles, Central Coast, California",14.5,WE,2019,Cabernet Sauvignon,California,Central Coast,1
A by Acacia California Chardonnay ,White Wine,15.99,750,0.0,0,Chardonnay from California,0.0,0,2020,Chardonnay,California,_Not_given_,0
A Coroa Godello ,White Wine,21.99,750,0.0,0,"Godello from Valdeorras, Spain",13.5,0,2021,Godello,Spain,Valdeorras,0
A Mano Negroamaro ,Red Wine,14.99,750,0.0,0,"Negroamaro from Puglia, Italy",0.0,0,2020,Negroamaro,Italy,Puglia,0
A Mano Primitivo ,Red Wine,14.99,750,3.0,8,"Primitivo from Puglia, Italy",14.5,WE,2019,Primitivo,Italy,Puglia,1
A Portela Mencia ,Red Wine,26.99,750,0.0,0,"Mencia from Valdeorras, Spain",13.5,0,2016,Mencia,Spain,Valdeorras,0
A to Z Essence Pinot Noir ,Red Wine,24.99,750,3.9,7,Pinot Noir from Oregon,13.8,0,2017,Pinot Noir,Oregon,_Not_given_,0
A to Z Rose Bubbles,Sparkling & Champagne,18.99,750,3.9,48,Sparkling Rosé from Oregon,12.5,0,0,Sparkling Rosé,Oregon,_Not_given_,0
A to Z Rose ,Pink and Rosé,19.99,750,0.0,0,Rosé from Oregon,13.0,0,2021,Rosé,Oregon,_Not_given_,0
A to Z Pinot Noir ,Red Wine,22.99,750,4.1,23,"Pinot Noir from Willamette Valley, Oregon",13.5,WE,2019,Pinot Noir,Oregon,Willamette Valley,1
A to Z Essence Pinot Noir ,Red Wine,24.99,750,0.0,0,Pinot Noir from Oregon,0.0,0,2018,Pinot Noir,Oregon,_Not_given_,0
A to Z Pinot Gris ,White Wine,16.99,750,0.0,0,Pinot Gris/Grigio from Oregon,0.0,0,2021,Pinot Gris/Grigio,Oregon,_Not_given_,0
A to Z Chardonnay ,White Wine,18.99,750,0.0,0,Chardonnay from Oregon,13.0,0,2020,Chardonnay,Oregon,_Not_given_,0
A to Z Riesling ,White Wine,19.99,750,0.0,0,"Riesling from Rogue Valley, Oregon",0.0,0,2021,Riesling,Oregon,Rogue Valley,0
A to Z Pinot Noir (375ML half-bottle) ,Red Wine,14.99,375,0.0,0,Pinot Noir from Oregon,13.5,WE,2018,Pinot Noir,Oregon,_Not_given_,1
A Tribute to Grace Vie Caprice Vineyard Grenache ,Red Wine,49.99,750,0.0,0,"Grenache from Santa Ynez Valley, Santa Barbara, Central Coast, California",14.4,V,2019,Grenache,California,Central Coast,1
A Tribute to Grace Santa Barbara Highlands Vineyard Grenache ,Red Wine,54.99,750,0.0,0,"Grenache from Santa Barbara, Central Coast, California",14.3,0,2019,Grenache,California,Central Coast,0
A. Christmann Pfalz Spatburgunder ,Red Wine,27.99,750,0.0,0,"Pinot Noir from Pfalz, Germany",0.0,0,2018,Pinot Noir,Germany,Pfalz,0
A. Margaine Extra Brut,Sparkling & Champagne,63.99,750,0.0,0,"Non-Vintage Sparkling Wine from Champagne, France",12.0,"RP, V",0,Non-Vintage Sparkling Wine,France,Champagne,2
A.J. Adam Hofberg Reserve Riesling Trocken ,White Wine,129.99,750,0.0,0,"Riesling from Mosel, Germany",13.0,0,2019,Riesling,Germany,Mosel,0
A.J. Adam Dhron Im Pfarrgarten Riesling Feinherb ,White Wine,25.99,750,0.0,0,"Riesling from Mosel, Germany",10.0,0,2020,Riesling,Germany,Mosel,0
A.J. Adam Dhron Hofberg Riesling Kabinett ,White Wine,32.99,750,0.0,0,"Riesling from Mosel, Germany",0.0,0,2020,Riesling,Germany,Mosel,0
A.J. Adam Hofberg Riesling Auslese ,White Wine,84.99,750,0.0,0,"Riesling from Mosel, Germany",0.0,RP,2019,Riesling,Germany,Mosel,1
A.R. Lenoble Brut Blanc de Blancs Grand Cru Mag ,Sparkling & Champagne,63.99,750,0.0,0,"Non-Vintage Sparkling Wine from Champagne, France",12.0,0,17,Non-Vintage Sparkling Wine,France,Champagne,0
A.R. Lenoble Brut Intense Mag ,Sparkling & Champagne,55.99,750,0.0,0,"Non-Vintage Sparkling Wine from Champagne, France",12.5,0,17,Non-Vintage Sparkling Wine,France,Champagne,0
A.R. Lenoble Brut Rose Terroirs,Sparkling & Champagne,65.99,750,0.0,0,"Sparkling Rosé from Champagne, France",12.5,"WE, JS, D",0,Sparkling Rosé,France,Champagne,3
A.R. Lenoble Cuvee Gentilhomme Grand Cru Blanc de Blancs ,Sparkling & Champagne,119.99,750,0.0,0,"Vintage Sparkling Wine from Champagne, France",12.5,JS,2013,Vintage Sparkling Wine,France,Champagne,1
A.R. Lenoble Brut Blanc de Blancs Grand Cru Mag ,Sparkling & Champagne,57.99,750,0.0,0,"Non-Vintage Sparkling Wine from Champagne, France",0.0,0,16,Non-Vintage Sparkling Wine,France,Champagne,0
Aalto ,Red Wine,63.99,750,4.0,6,"Tempranillo from Ribera del Duero, Spain",15.0,0,2019,Tempranillo,Spain,Ribera del Duero,0
Aalto PS ,Red Wine,159.99,750,0.0,0,"Tempranillo from Ribera del Duero, Spain",15.0,0,2019,Tempranillo,Spain,Ribera del Duero,0
Abacela Albarino ,White Wine,21.99,750,3.4,6,"Albarino from Umpqua Valley, Oregon",13.3,WE,2021,Albarino,Oregon,Umpqua Valley,1
Abadia Retuerta Pago Negralada Tempranillo ,Red Wine,94.99,750,0.0,0,Tempranillo from Spain,0.0,"V, JS, RP, WS",2015,Tempranillo,Spain,_Not_given_,4
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon ,Red Wine,99.99,750,0.0,0,Cabernet Sauvignon from Spain,14.5,"RP, V, JS, D",2015,Cabernet Sauvignon,Spain,_Not_given_,4
Abadia Retuerta Seleccion Especial ,Red Wine,44.99,750,0.0,0,Other Red Blends from Spain,14.5,RP,2017,Other Red Blends,Spain,_Not_given_,1
Abadia Retuerta Le Domaine Blanco ,White Wine,52.99,750,0.0,0,Other White Blends from Spain,0.0,"JS, RP",2019,Other White Blends,Spain,_Not_given_,2
Abbadia Ardenga Brunello di Montalcino Vigna Piaggia ,Red Wine,60.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",14.5,"JS, WE",2017,Sangiovese,Italy,Tuscany,2
Abbazia di Novacella Gruner Veltliner ,White Wine,24.99,750,0.0,0,"Gruner Veltliner from Alto Adige, Trentino-Alto Adige, Italy",13.0,WE,2021,Gruner Veltliner,Italy,Trentino-Alto Adige,1
Abbazia di Novacella Pinot Nero ,Red Wine,27.99,750,0.0,0,"Pinot Noir from Alto Adige, Trentino-Alto Adige, Italy",13.5,JS,2021,Pinot Noir,Italy,Trentino-Alto Adige,1
Abbazia di Novacella Kerner ,White Wine,21.99,750,4.2,8,"Other White Wine from Trentino-Alto Adige, Italy",0.0,JS,2021,Other White Wine,Italy,Trentino-Alto Adige,1
Abbazia di Novacella Praepositus Kerner ,White Wine,39.99,750,0.0,0,"Other White Wine from Trentino-Alto Adige, Italy",14.5,"D, JS",2020,Other White Wine,Italy,Trentino-Alto Adige,2
Abbazia di Novacella Pinot Grigio ,White Wine,25.99,750,0.0,0,"Pinot Gris/Grigio from Trentino-Alto Adige, Italy",13.0,JS,2021,Pinot Gris/Grigio,Italy,Trentino-Alto Adige,1
Abbona Barolo Ravera ,Red Wine,61.99,750,0.0,0,"Nebbiolo from Barolo, Piedmont, Italy",15.0,"JS, WE",2015,Nebbiolo,Italy,Piedmont,2
Abbona Papa Celso Dolcetto ,Red Wine,24.99,750,0.0,0,"Dolcetto from Piedmont, Italy",14.9,0,2021,Dolcetto,Italy,Piedmont,0
Abbona Rinaldi Barbera d'Alba ,Red Wine,24.99,750,0.0,0,"Barbera from Alba, Piedmont, Italy",14.5,0,2019,Barbera,Italy,Piedmont,0
Abbott Claim Pinot Noir ,Red Wine,74.99,750,0.0,0,"Pinot Noir from Yamhill-Carlton District, Willamette Valley, Oregon",13.3,WE,2018,Pinot Noir,Oregon,Willamette Valley,1
Abreu Vineyards Cappella ,Red Wine,459.97,750,0.0,0,"Bordeaux Red Blends from Napa Valley, California",0.0,RP,2011,Bordeaux Red Blends,California,Napa Valley,1
Abreu Vineyards Cappella ,Red Wine,349.97,750,0.0,0,"Bordeaux Red Blends from Napa Valley, California",0.0,V,2008,Bordeaux Red Blends,California,Napa Valley,1
Abreu Vineyards Madrona Ranch ,Red Wine,799.97,750,0.0,0,"Bordeaux Red Blends from Napa Valley, California",0.0,RP,2013,Bordeaux Red Blends,California,Napa Valley,1
Abreu Vineyards Madrona Ranch ,Red Wine,469.97,750,0.0,0,"Bordeaux Red Blends from Napa Valley, California",0.0,RP,2003,Bordeaux Red Blends,California,Napa Valley,1
Abreu Vineyards Madrona Ranch ,Red Wine,459.97,750,0.0,0,"Bordeaux Red Blends from Napa Valley, California",0.0,RP,2008,Bordeaux Red Blends,California,Napa Valley,1
Abreu Vineyards Thorevilos ,Red Wine,579.97,750,0.0,0,"Bordeaux Red Blends from Napa Valley, California",0.0,RP,2009,Bordeaux Red Blends,California,Napa Valley,1
Abreu Vineyards Cappella ,Red Wine,439.97,750,0.0,0,"Bordeaux Red Blends from Napa Valley, California",14.5,RP,2007,Bordeaux Red Blends,California,Napa Valley,1
Acacia Carneros Pinot Noir ,Red Wine,27.99,750,0.0,0,"Pinot Noir from Carneros, California",0.0,0,2019,Pinot Noir,California,Carneros,0
Accendo Cellars Cabernet Sauvignon ,Red Wine,349.99,750,0.0,0,"Cabernet Sauvignon from Napa Valley, California",14.8,"WS, RP",2017,Cabernet Sauvignon,California,Napa Valley,2
Accendo Cellars Laurea Cabernet Sauvignon ,Red Wine,129.99,750,0.0,0,"Cabernet Sauvignon from Napa Valley, California",14.8,"V, WS, RP",2018,Cabernet Sauvignon,California,Napa Valley,3
Achaval-Ferrer Finca Mirador Malbec ,Red Wine,129.99,750,0.0,0,"Malbec from Mendoza, Argentina",14.5,"JS, V",2018,Malbec,Argentina,Mendoza,2
Achaval-Ferrer Finca Bella Vista Malbec ,Red Wine,129.99,750,0.0,0,"Malbec from Mendoza, Argentina",14.5,"JS, RP",2018,Malbec,Argentina,Mendoza,2
Achaval-Ferrer Mendoza Malbec ,Red Wine,20.99,750,4.5,12,"Malbec from Mendoza, Argentina",14.3,JS,2019,Malbec,Argentina,Mendoza,1
Achaval-Ferrer Quimera ,Red Wine,39.99,750,4.2,18,"Bordeaux Red Blends from Mendoza, Argentina",0.0,"JS, V",2018,Bordeaux Red Blends,Argentina,Mendoza,2
Achaval-Ferrer Mendoza Cabernet Sauvignon ,Red Wine,18.99,750,3.6,7,"Cabernet Sauvignon from Mendoza, Argentina",0.0,"JS, V",2018,Cabernet Sauvignon,Argentina,Mendoza,2
Achaval-Ferrer Finca Altamira Malbec ,Red Wine,149.99,750,0.0,0,"Malbec from Mendoza, Argentina",14.5,JS,2018,Malbec,Argentina,Mendoza,1
Acinum Valpolicella Ripasso ,Red Wine,25.99,750,0.0,0,"Other Red Blends from Valpolicella, Veneto, Italy",0.0,0,2017,Other Red Blends,Italy,Veneto,0
Acinum Extra Dry Prosecco,Sparkling & Champagne,13.99,750,3.8,90,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.0,0,0,Non-Vintage Sparkling Wine,Italy,Prosecco,0
Acinum Soave Classico ,White Wine,12.99,750,0.0,0,"Garganega from Soave, Veneto, Italy",12.5,0,2021,Garganega,Italy,Veneto,0
Acinum Valpolicella ,Red Wine,17.99,750,0.0,0,"Other Red Blends from Valpolicella, Veneto, Italy",12.5,0,2020,Other Red Blends,Italy,Veneto,0
Acrobat Pinot Gris ,White Wine,12.99,750,4.3,17,Pinot Gris/Grigio from Oregon,13.0,"WE, WW",2021,Pinot Gris/Grigio,Oregon,_Not_given_,2
Acrobat Pinot Noir ,Red Wine,19.99,750,3.2,9,Pinot Noir from Oregon,13.5,"WW, WE",2019,Pinot Noir,Oregon,_Not_given_,2
Acumen Peak Cabernet Sauvignon ,Red Wine,129.99,750,0.0,0,"Cabernet Sauvignon from Atlas Peak, Napa Valley, California",14.0,"WW, W&S",2016,Cabernet Sauvignon,California,Napa Valley,2
Acumen Peak Cabernet Sauvignon Edcora Vineyard ,Red Wine,169.99,750,0.0,0,"Cabernet Sauvignon from Atlas Peak, Napa Valley, California",14.0,WW,2016,Cabernet Sauvignon,California,Napa Valley,1
Adami Bosco di Gica Prosecco Superiore,Sparkling & Champagne,19.99,750,4.3,142,"Non-Vintage Sparkling Wine from Valdobbiadene, Prosecco, Italy",11.0,"V, RP",0,Non-Vintage Sparkling Wine,Italy,Prosecco,2
Adami Garbel Brut Prosecco,Sparkling & Champagne,15.99,750,4.1,72,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.0,"TP, W&S",0,Non-Vintage Sparkling Wine,Italy,Prosecco,2
ADAMVS Teres Cabernet Sauvignon ,Red Wine,149.99,750,0.0,0,"Cabernet Sauvignon from Howell Mountain, Napa Valley, California",0.0,"JD, RP",2016,Cabernet Sauvignon,California,Napa Valley,2
ADAMVS Quintvs ,Red Wine,249.99,750,0.0,0,"Cabernet Sauvignon from Howell Mountain, Napa Valley, California",0.0,"JD, RP",2016,Cabernet Sauvignon,California,Napa Valley,2
Adaptation by Odette Petite Sirah ,Red Wine,59.99,750,0.0,0,"Petite Sirah from Napa Valley, California",14.6,0,2018,Petite Sirah,California,Napa Valley,0
Adaptation by Odette Cabernet Sauvignon ,Red Wine,84.99,750,4.9,5,"Cabernet Sauvignon from Napa Valley, California",14.6,"WW, WE",2018,Cabernet Sauvignon,California,Napa Valley,2
Addax Cabernet Sauvignon ,Red Wine,165.97,750,0.0,0,"Cabernet Sauvignon from Napa Valley, California",14.9,"JD, RP",2018,Cabernet Sauvignon,California,Napa Valley,2
Addendum Napa Valley Cabernet Sauvignon ,Red Wine,89.99,750,0.0,0,"Cabernet Sauvignon from Napa Valley, California",14.9,"V, WE, JD",2017,Cabernet Sauvignon,California,Napa Valley,3
Adelina Wines Watervale Riesling ,White Wine,29.99,750,0.0,0,"Riesling from Clare Valley, South Australia, Australia",11.1,0,2020,Riesling,Australia,South Australia,0
Adelina Wines Clare Valley Shiraz ,Red Wine,43.99,750,0.0,0,"Syrah/Shiraz from Clare Valley, South Australia, Australia",13.2,0,2020,Syrah/Shiraz,Australia,South Australia,0
Adelina Wines Chardonnay ,White Wine,27.99,750,0.0,0,"Chardonnay from Adelaide Hills, South Australia, Australia",12.6,0,2018,Chardonnay,Australia,South Australia,0
Adelsheim Pinot Noir ,Red Wine,36.99,750,0.0,0,"Pinot Noir from Willamette Valley, Oregon",13.0,0,2021,Pinot Noir,Oregon,Willamette Valley,0
Adelsheim Staking Claim Chardonnay ,White Wine,34.99,750,3.8,6,"Chardonnay from Chehalem Mountains, Willamette Valley, Oregon",13.0,"WE, JS",2017,Chardonnay,Oregon,Willamette Valley,2
Adelsheim Willamette Valley Chardonnay ,White Wine,27.99,750,4.0,5,"Chardonnay from Willamette Valley, Oregon",12.5,W&S,2019,Chardonnay,Oregon,Willamette Valley,1
Adeptos Reserve Cabernet Sauvignon ,Red Wine,165.97,750,0.0,0,"Cabernet Sauvignon from Napa Valley, California",14.5,0,2018,Cabernet Sauvignon,California,Napa Valley,0
Adobe Road Sangiacomo Vineyard Chardonnay ,White Wine,58.99,750,0.0,0,"Chardonnay from Carneros, California",14.0,WW,2017,Chardonnay,California,Carneros,1
Adobe Road Apex Red Blend ,Red Wine,98.99,750,0.0,0,"Other Red Blends from Sonoma County, California",14.9,"JD, WW, RP",2018,Other Red Blends,California,Sonoma County,3
Adobe Road The Shift Red Blend ,Red Wine,59.99,750,4.3,12,"Other Red Blends from Sonoma County, California",14.5,"RP, WW, WS, JD",2016,Other Red Blends,California,Sonoma County,4
Adobe Road Bavarian Lion Vineyard Cabernet Sauvignon ,Red Wine,77.99,750,0.0,0,"Cabernet Sauvignon from Knights Valley, Sonoma County, California",15.4,"RP, WS",2015,Cabernet Sauvignon,California,Sonoma County,2
Adobe Road The 24 Red Blend ,Red Wine,69.99,750,0.0,0,"Other Red Blends from Sonoma County, California",14.8,"RP, WS",2016,Other Red Blends,California,Sonoma County,2
Adobe Road Redline Red Blend ,Red Wine,52.99,750,0.0,0,"Other Red Blends from North Coast, California",14.8,RP,2018,Other Red Blends,California,North Coast,1
Adriano Marco e Vittorio Basarin Barbaresco ,Red Wine,32.99,750,4.4,56,"Nebbiolo from Barbaresco, Piedmont, Italy",14.5,"WW, JD",2018,Nebbiolo,Italy,Piedmont,2
Adriano Marco e Vittorio Sanadaive Barbaresco ,Red Wine,31.99,750,4.4,59,"Nebbiolo from Barbaresco, Piedmont, Italy",14.0,"JD, WW",2018,Nebbiolo,Italy,Piedmont,2
Aeris Bianco Centennial Mountain Estate ,White Wine,49.99,750,0.0,0,"Carricante from Sonoma Coast, Sonoma County, California",12.1,0,2017,Carricante,California,Sonoma County,0
Aeris Rosso Centennial Mountain Estate ,Red Wine,71.99,750,0.0,0,"Other Red Blends from Sonoma Coast, Sonoma County, California",14.5,0,2017,Other Red Blends,California,Sonoma County,0
Agricola de Borja Vina Borgia ,Red Wine,9.99,750,3.3,5,"Grenache from Campo de Borja, Spain",0.0,JS,2020,Grenache,Spain,Campo de Borja,1
Agricola de Borja Monte Oton Garnacha ,Red Wine,10.99,750,0.0,0,"Grenache from Campo de Borja, Spain",13.8,0,2020,Grenache,Spain,Campo de Borja,0
Agricola Punica Barrua Isola dei Nuraghi ,Red Wine,52.99,750,0.0,0,"Other Red Blends from Sardinia, Italy",15.0,JS,2017,Other Red Blends,Italy,Sardinia,1
Agricola Punica Samas ,White Wine,24.99,750,0.0,0,"Other White Blends from Sardinia, Italy",13.5,0,2021,Other White Blends,Italy,Sardinia,0
Agricola Punica Montessu Isola dei Nuraghi ,Red Wine,40.99,750,0.0,0,"Other Red Blends from Sardinia, Italy",14.5,0,2020,Other Red Blends,Italy,Sardinia,0
Agua de Piedra Gran Seleccion Malbec ,Red Wine,14.99,750,4.9,23,"Malbec from Mendoza, Argentina",13.5,0,2021,Malbec,Argentina,Mendoza,0
Agua de Piedra Seleccion Malbec ,Red Wine,10.99,750,0.0,0,"Malbec from Mendoza, Argentina",13.0,WW,2021,Malbec,Argentina,Mendoza,1
Agusti Torello Mata Cava KRIPTA Brut Nature Gran Reserva ,Sparkling & Champagne,89.99,750,0.0,0,"Vintage Sparkling Wine from Cava, Spain",11.5,0,2013,Vintage Sparkling Wine,Spain,Cava,0
Agusti Torello Mata Xic Xarel-lo ,White Wine,13.99,750,0.0,0,"Xarel-lo from Penedes, Spain",12.5,0,2020,Xarel-lo,Spain,Penedes,0
Agusti Torello Mata Gran Reserva Cava Brut Nature ,Sparkling & Champagne,28.99,750,0.0,0,"Vintage Sparkling Wine from Cava, Spain",11.0,0,2014,Vintage Sparkling Wine,Spain,Cava,0
